,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Ice Time,Ice Time,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,-9999
1,Alex Kovalev,32,RW,69,23,42,65,-1,76,14,9,0,5,18,24,0,206,11.2,1343:40,19:28,,kovalal01
2,Saku Koivu,31,C,72,17,45,62,1,70,12,5,0,4,23,22,0,138,12.3,1333:32,18:31,,koivusa01
3,Michael Ryder,25,RW,81,30,25,55,-5,40,12,18,0,6,11,14,0,243,12.3,1309:49,16:10,,rydermi01
4,Mike Ribeiro,25,LW,79,16,35,51,-6,36,8,8,0,2,18,17,0,130,12.3,1309:44,16:35,,ribeimi01
5,Andrei Markov,27,D,67,10,36,46,13,74,3,6,1,1,16,18,2,88,11.4,1577:43,23:33,,markoan01
6,Jan Bulis,27,LW,73,20,20,40,2,50,13,6,1,3,17,3,0,131,15.3,1140:35,15:37,,bulisja01
7,Sheldon Souray,29,D,75,12,27,39,-11,116,4,7,1,0,12,14,1,202,5.9,1668:43,22:15,,sourash01
8,Chris Higgins,22,C,80,23,15,38,-1,26,13,7,3,3,10,5,0,148,15.5,1152:43,14:25,Calder-11,higgich01
9,Craig Rivet,31,D,82,7,27,34,-5,109,2,5,0,1,16,10,1,122,5.7,1840:14,22:27,,rivetcr01
10,Richard Zedník,30,RW,67,16,14,30,-2,48,10,6,0,4,8,6,0,161,9.9,1056:38,15:46,,zedniri01
11,Tomáš Plekanec,23,LW,67,9,20,29,4,32,8,1,0,0,12,5,3,99,9.1,887:55,13:15,,plekato01
12,Steve Bégin,27,C,76,11,12,23,9,113,8,1,2,2,9,1,2,134,8.2,1087:26,14:19,,beginst01
13,Francis Bouillon,30,D,67,3,19,22,-6,34,0,3,0,1,13,6,0,75,4.0,1392:02,20:47,,bouilfr01
14,Radek Bonk,30,C,61,6,15,21,-3,52,4,0,2,1,9,5,1,76,7.9,925:05,15:10,,bonkra01
15,Mathieu Dandenault,29,D,82,5,15,20,8,83,5,0,0,1,12,2,1,101,5.0,1527:40,18:38,,dandema01
16,Alexander Perezhogin,22,RW,67,9,10,19,5,38,6,3,0,2,7,3,0,109,8.3,678:40,10:08,,perezal01
17,Niklas Sundström,30,RW,55,6,9,15,-6,30,6,0,0,2,8,0,1,54,11.1,755:21,13:44,,sundsni01
18,Pierre Dagenais,27,RW,32,5,7,12,-5,16,3,2,0,1,3,4,0,74,6.8,317:26,9:55,,dagenpi01
19,Mark Streit,28,D,48,2,9,11,-6,28,0,2,0,0,3,6,0,52,3.8,700:25,14:36,,streima01
20,Mike Komisarek,24,D,71,2,4,6,-1,116,2,0,0,0,4,0,0,66,3.0,1041:49,14:40,,komismi01
21,Garth Murray,23,C,36,5,1,6,-2,44,5,0,0,1,1,0,0,25,20.0,333:02,9:15,,murraga01
22,Aaron Downey,31,RW,25,1,4,5,2,50,1,0,0,0,4,0,0,10,10.0,168:06,6:43,,downeaa01
23,Andrei Kostitsyn,20,RW,12,2,1,3,1,2,2,0,0,0,1,0,0,9,22.2,90:24,7:32,,kostian01
24,Jonathan Ferland,22,RW,7,1,0,1,-2,2,1,0,0,0,0,0,0,9,11.1,46:19,6:37,,ferlajo01
25,José Théodore,29,G,38,0,1,1,0,2,0,0,0,0,,,,0,,2113:50,55:38,,theodjo01
26,David Aebischer,27,G,7,0,0,0,0,0,0,0,0,0,,,,0,,418:17,59:45,,aebisda01
27,Cristobal Huet,30,G,36,0,0,0,0,0,0,0,0,0,,,,0,,2102:59,58:25,ASnhl-9,huetcr01
28,Todd Simpson,32,D,6,0,0,0,0,14,0,0,0,0,0,0,0,6,0.0,95:51,15:59,,simpsto01
29,Jean-Philippe Côté,23,D,8,0,0,0,2,4,0,0,0,0,0,0,0,2,0.0,88:18,11:02,,coteje01
30,Yann Danis,24,G,6,0,0,0,0,0,0,0,0,0,,,,0,,312:15,52:03,,danisya01
31,Maxim Lapierre,20,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,3:04,3:04,,lapiema01
32,Raitis Ivanāns,27,D,4,0,0,0,-1,9,0,0,0,0,0,0,0,0,,11:51,2:58,,ivanara01
,Team Totals,,,82,241,413,654,-17,1314,142,89,10,40,235,165,12,2470,9.8,28831:26,18:31,,-9999
