,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Max Pacioretty,27,LW,82,30,34,64,-10,34,21,8,1,6,25,9,0,303,9.9,539,1519:14,18:32,6,7,46.2,37,102,35,33,Byng-38Selke-22,pacioma01
2,Alex Galchenyuk,21,C,82,30,26,56,-8,20,21,9,0,4,19,7,0,201,14.9,360,1333:16,16:16,359,390,47.9,36,62,31,36,,galchal01
3,Tomáš Plekanec,33,C,82,14,40,54,4,36,13,1,0,1,28,12,0,189,7.4,323,1519:38,18:32,804,811,49.8,46,60,15,45,,plekato01
4,P.K. Subban,26,D,68,6,45,51,4,75,4,2,0,0,23,22,0,176,3.4,378,1792:38,26:22,0,0,,80,102,23,106,ASGASnhl-18Norris-14,subbapk01
5,Andrei Markov,37,D,82,5,39,44,-6,38,1,4,0,0,26,13,0,117,4.3,287,1954:32,23:50,0,0,,142,57,38,93,,markoan01
6,Brendan Gallagher,23,RW,53,19,21,40,13,24,12,7,0,0,18,3,0,173,11.0,275,878:32,16:35,12,17,41.4,25,43,30,14,,gallabr01
7,David Desharnais,29,C,65,11,18,29,-6,20,8,3,0,4,16,2,0,90,12.2,142,1040:11,16:00,391,412,48.7,25,31,27,22,,deshada01
8,Dale Weise,27,RW,56,14,12,26,0,22,11,3,0,1,9,3,0,117,12.0,191,803:16,14:21,15,15,50.0,23,108,17,13,,weiseda01
9,Lars Eller,26,C,79,13,13,26,-13,28,11,1,1,2,13,0,0,149,8.7,275,1205:19,15:15,207,202,50.6,36,111,46,25,,ellerla01
10,Tomáš Fleischmann,31,LW,57,10,10,20,-1,28,9,0,1,3,9,1,0,100,10.0,169,886:39,15:33,12,14,46.2,16,30,33,11,,fleisto01
11,Nathan Beaulieu,23,D,64,2,17,19,-6,55,1,1,0,0,15,2,0,74,2.7,144,1117:15,17:27,0,0,,89,59,17,48,,beaulna01
12,Torrey Mitchell,31,C,71,11,8,19,2,51,10,0,1,3,6,0,2,69,15.9,102,900:41,12:41,370,347,51.6,38,67,22,27,,mitchto01
13,Paul Byron,26,C,62,11,7,18,-9,11,8,0,3,2,5,0,2,50,22.0,90,853:02,13:46,3,2,60.0,25,112,23,15,Byng-38,byronpa01
14,Sven Andrighetto,22,RW,44,7,10,17,1,6,6,1,0,0,9,1,0,74,9.5,131,621:11,14:07,3,4,42.9,17,71,9,13,,andrisv01
15,Jeff Petry,28,D,51,5,11,16,-6,16,4,1,0,2,4,4,3,98,5.1,233,1089:10,21:21,1,0,100.0,73,86,16,50,,petryje01
16,Devante Smith-Pelly,23,RW,46,6,6,12,-2,22,6,0,0,3,6,0,0,60,10.0,99,506:19,11:00,0,2,0.0,15,85,6,15,,smithde06
17,Alexei Emelin,29,D,72,0,12,12,-7,71,0,0,0,0,12,0,0,71,0.0,195,1475:51,20:30,0,0,,113,256,15,75,,emelial01
18,Mark Barberio,25,D,30,2,8,10,0,6,2,0,0,0,8,0,0,32,6.3,88,449:56,14:60,0,0,,18,12,11,19,,barbema01
19,Brian Flynn,27,C,56,4,6,10,-3,6,3,0,1,0,5,0,1,73,5.5,108,657:03,11:44,200,146,57.8,33,23,20,11,,flynnbr01
20,Daniel Carr,24,LW,23,6,3,9,0,8,5,1,0,1,3,0,0,39,15.4,76,277:41,12:04,0,0,,5,25,7,4,,carrda01
21,Greg Pateryn,25,D,38,1,6,7,-8,49,1,0,0,0,6,0,0,32,3.1,85,636:27,16:45,0,0,,52,100,12,31,,patergr01
22,Joel Hanley,24,D,10,0,6,6,0,0,0,0,0,0,6,0,0,10,0.0,17,159:59,15:60,0,0,,19,6,2,4,,hanlejo01
23,Phillip Danault,22,C,21,3,2,5,-2,8,3,0,0,0,2,0,0,24,12.5,45,265:12,12:38,84,66,56.0,11,12,6,6,,danauph01
