,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Erik Karlsson,24,D,82,21,45,66,7,42,15,6,0,3,21,24,0,292,7.2,654,2234:55,27:15,0,0,,89,93,59,99,ASnhl-1Hart-9Norris-1,karlser01
2,Kyle Turris,25,C,82,24,40,64,5,36,19,4,1,6,28,12,0,215,11.2,420,1575:44,19:13,737,730,50.2,40,48,48,46,,turriky01
3,Mark Stone,22,RW,80,26,38,64,21,14,20,5,1,6,30,8,0,157,16.6,261,1361:42,17:01,7,11,38.9,53,49,98,43,ASnhl-7AR-1Byng-35Calder-2Selke-46,stonema01
4,Bobby Ryan,27,RW,78,18,36,54,5,24,14,4,0,5,26,10,0,221,8.1,368,1362:52,17:28,4,7,36.4,33,110,59,41,ASG,ryanbo01
5,Mike Hoffman,25,LW,79,27,21,48,16,14,26,1,0,4,19,2,0,199,13.6,371,1149:46,14:33,7,7,50.0,33,40,57,45,Calder-6,hoffmmi02
6,Mika Zibanejad,21,C,80,20,26,46,0,20,16,4,0,0,16,10,0,150,13.3,293,1314:59,16:26,615,638,49.1,26,149,34,27,,zibanmi01
7,Clarke MacArthur,29,LW,62,16,20,36,-6,36,10,6,0,5,16,4,0,140,11.4,244,1054:17,17:00,8,13,38.1,17,70,31,36,,macarcl01
8,Milan Michálek,30,LW,66,13,21,34,3,33,7,5,1,1,16,5,0,130,10.0,235,1080:28,16:22,11,12,47.8,40,64,23,12,,michami01
9,David Legwand,34,C,80,9,18,27,1,32,3,6,0,0,10,6,2,91,9.9,162,1111:45,13:54,451,507,47.1,25,43,30,25,,legwada01
10,Alex Chiasson,24,RW,76,11,15,26,-5,67,8,3,0,1,11,3,1,105,10.5,175,1016:36,13:23,3,18,14.3,20,93,22,9,,chiasal01
11,Erik Condra,28,RW,68,9,14,23,13,30,8,0,1,1,13,0,1,106,8.5,193,982:49,14:27,2,7,22.2,53,33,37,19,,condrer01
12,Cody Ceci,21,D,81,5,16,21,-4,6,4,1,0,0,13,3,0,130,3.8,245,1562:29,19:17,0,0,,113,89,14,41,Byng-26,cecico01
13,Jean-Gabriel Pageau,22,C,50,10,9,19,4,9,8,0,2,2,9,0,0,97,10.3,147,709:22,14:11,335,344,49.3,20,158,19,13,,pageaje01
14,Curtis Lazar,19,C,67,6,9,15,1,14,6,0,0,0,9,0,0,92,6.5,165,864:05,12:54,129,144,47.3,40,167,24,13,,lazarcu01
15,Patrick Wiercioch,24,D,56,3,10,13,3,28,2,1,0,2,6,4,0,79,3.8,181,1011:09,18:03,0,0,,44,50,10,47,,wiercpa01
16,Eric Gryba,26,D,75,0,12,12,11,97,0,0,0,0,12,0,0,64,0.0,151,1173:52,15:39,0,0,,58,171,12,40,,grybaer01
17,Mark Borowiecki,25,D,63,1,10,11,15,107,1,0,0,0,10,0,0,30,3.3,77,1002:22,15:55,0,0,,102,233,9,21,,borowma01
18,Marc Methot,29,D,45,1,10,11,22,18,1,0,0,0,10,0,0,49,2.0,91,1020:01,22:40,0,1,0.0,70,94,12,24,,methoma01
19,Jared Cowen,24,D,54,3,6,9,-11,45,3,0,0,1,6,0,0,47,6.4,104,980:08,18:09,0,0,,76,159,13,33,,cowenja01
20,Chris Neil,35,RW,38,4,3,7,5,78,3,1,0,0,3,0,0,23,17.4,47,369:58,9:44,3,2,60.0,11,136,4,2,,neilch01
21,Chris Phillips,36,D,36,0,3,3,0,12,0,0,0,0,2,1,0,29,0.0,69,752:16,20:54,0,0,,54,70,7,26,,phillch02
22,Matt Puempel,22,LW,13,2,1,3,6,8,2,0,0,0,1,0,0,14,14.3,26,104:25,8:02,0,1,0.0,1,9,3,0,,puempma01
23,Zack Smith,26,C,37,2,1,3,-8,18,2,0,0,0,1,0,0,38,5.3,65,445:14,12:02,103,128,44.6,13,64,15,7,,smithza01
24,Robin Lehner,23,G,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1471:20,58:51,0,0,,0,0,0,3,,lehnero01
25,Shane Prince,22,LW,2,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,6,20:57,10:29,0,0,,0,2,0,0,,princsh01
26,Andrew Hammond,26,G,24,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1410:59,58:47,0,0,,0,0,0,11,Hart-15Vezina-7,hammoan01
27,Colin Greening,28,LW,26,1,0,1,-5,29,1,0,0,0,0,0,0,39,2.6,62,255:22,9:49,6,2,75.0,14,85,8,6,,greenco01
28,Chris Driedger,20,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22:52,22:52,,,,,0,0,0,,driedch01
29,Craig Anderson,33,G,35,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,2092:31,59:47,0,0,,0,0,0,30,,andercr01
,Team Totals,,,82,232,387,619,100,841,179,47,6,37,291,92,4,2539,9.1,4812,29515:15,18:54,2421,2572,48.5,1045,2279,648,719,,-9999
