,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Ice Time,Ice Time,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,-9999
1,Mark Recchi,22,RW,78,40,73,113,0,48,28,12,0,9,44,28,1,184,21.7,,,ASGASnhl-5Hart-9,recchma01
2,John Cullen,26,C,65,31,63,94,0,83,21,10,0,2,38,25,0,171,18.1,,,ASGASnhl-7Byng-13,cullejo01
3,Paul Coffey,29,D,76,24,69,93,-18,128,16,8,0,3,35,34,0,240,10.0,,,ASGASnhl-5Norris-5,coffepa01
4,Kevin Stevens,25,LW,80,40,46,86,-1,133,22,18,0,6,26,20,0,253,15.8,,,ASGASnhl-2,steveke01
5,Jaromír Jágr,18,RW,80,27,30,57,-4,42,20,7,0,4,24,6,0,136,19.9,,,AR-1Calder-6,jagrja01
6,Zarley Zalapski,22,D,66,12,36,48,15,59,6,5,1,1,23,12,1,135,8.9,,,ASnhl-13,zalapza01
7,Mario Lemieux,25,C,26,19,26,45,8,30,12,6,1,2,19,7,0,89,21.3,,,,lemiema01
8,Bob Errey,26,LW,79,20,22,42,11,115,19,0,1,2,22,0,0,131,15.3,,,,erreybo01
9,Joe Mullen,33,RW,47,17,22,39,9,6,9,8,0,2,15,7,0,85,20.0,,,,mullejo01
10,Phil Bourque,28,LW,78,20,14,34,7,106,15,1,4,0,13,0,1,122,16.4,,,,bourqph01
11,Larry Murphy,29,D,44,5,23,28,2,30,3,2,0,0,11,12,0,85,5.9,,,,murphla01
12,Bryan Trottier,34,C,52,9,19,28,5,24,8,0,1,0,17,1,1,68,13.2,,,,trottbr01
13,Scott Young,23,RW,43,11,16,27,3,33,7,3,1,3,9,6,1,116,9.5,,,,youngsc01
14,Randy Gilhen,27,C,72,15,10,25,3,51,12,1,2,1,10,0,0,112,13.4,,,,gilhera01
15,Paul Stanton,23,D,75,5,18,23,11,40,4,1,0,1,14,3,1,72,6.9,,,,stantpa01
16,Jiří Hrdina,33,C,37,6,14,20,-2,13,4,1,1,0,10,4,0,58,10.3,,,,hrdinji01
17,Tony Tanti,27,RW,46,6,12,18,1,44,3,3,0,0,8,4,0,74,8.1,,,,tantito01
18,Troy Loney,27,LW,44,7,9,16,10,85,7,0,0,2,9,0,0,51,13.7,,,,loneytr01
19,Rob Brown,22,RW,25,6,10,16,0,31,4,2,0,0,8,2,0,32,18.8,,,,brownro01
20,Gordie Roberts,33,D,61,3,12,15,18,70,3,0,0,0,12,0,0,22,13.6,,,,robergo02
21,Barry Pederson,29,C,46,6,8,14,2,21,5,1,0,1,8,0,0,26,23.1,,,,pederba01
22,Ron Francis,27,C,14,2,9,11,0,21,2,0,0,1,8,1,0,25,8.0,,,Selke-21,francro01
23,Peter Taglianetti,27,D,39,3,8,11,16,93,3,0,0,0,8,0,0,25,12.0,,,,taglipe01
24,Tom Barrasso,25,G,48,0,5,5,0,40,0,0,0,0,,,,0,,2753:51,,,barrato01
25,Ulf Samuelsson,26,D,14,1,4,5,4,37,1,0,0,0,3,0,1,15,6.7,,,,samueul01
26,Jim Johnson,28,D,24,0,5,5,-3,23,0,0,0,0,5,0,0,22,0.0,,,,johnsji02
27,Grant Jennings,25,D,13,1,3,4,2,26,1,0,0,0,3,0,0,8,12.5,,,,jennigr01
28,Randy Hillier,30,D,31,2,2,4,-3,32,2,0,0,0,2,0,0,14,14.3,,,,hillira01
29,Chris Dahlquist,28,D,22,1,2,3,0,30,1,0,0,0,2,0,0,15,6.7,,,,dahlqch01
30,Jamie Leach,21,RW,7,2,0,2,-1,0,2,0,0,0,0,0,0,8,25.0,,,,leachja01
31,Jeff Daniels,22,LW,11,0,2,2,0,2,0,0,0,0,2,0,0,6,0.0,,,,danieje01
32,Jay Caufield,30,RW,23,1,1,2,-2,71,1,0,0,1,1,0,0,5,20.0,,,,caufija01
33,Frank Pietrangelo,26,G,25,0,1,1,0,24,0,0,0,0,,,,0,,1310:35,,,pietrfr01
34,Ken Priestlay,23,C,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,,,,prieske01
35,Wendell Young,27,G,18,0,1,1,0,0,0,0,0,0,,,,0,,772:57,,,youngwe01
36,Brad Aitken,23,LW,6,0,1,1,-2,25,0,0,0,0,1,0,0,3,0.0,,,,aitkebr01
37,Jim Paek,23,D,3,0,0,0,2,9,0,0,0,0,0,0,0,0,,,,,paekji01
38,Jim Kyte,26,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,kyteji01
39,Gord Dineen,28,D,9,0,0,0,-4,6,0,0,0,0,0,0,0,6,0.0,,,,dineego01
,Team Totals,,,80,342,597,939,89,1641,241,89,12,41,411,172,7,2416,14.2,4837:23,,,-9999
