,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Max Pacioretty,31,LW,71,32,34,66,18,44,24,8,0,5,23,11,0,307,10.4,549,1271:59,17:55,51,45,53.1,35,90,32,55,ASGASnhl-6Byng-42,pacioma01
2,Mark Stone,27,RW,65,21,42,63,15,27,15,6,0,3,30,11,1,168,12.5,275,1261:51,19:25,16,30,34.8,51,56,78,38,ASnhl-4Selke-5,stonema01
3,Reilly Smith,28,RW,71,27,27,54,17,20,22,3,2,6,23,2,2,169,16.0,266,1271:46,17:55,3,9,25.0,30,55,58,41,,smithre01
4,Jonathan Marchessault,29,C,66,22,25,47,6,28,16,6,0,3,19,6,0,235,9.4,388,1140:39,17:17,58,78,42.6,12,99,37,48,,audymjo01
5,Shea Theodore,24,D,71,13,33,46,12,25,11,1,1,4,18,15,0,219,5.9,460,1579:08,22:14,0,0,,69,20,55,54,ASnhl-8Norris-6,theodsh01
6,William Karlsson,27,C,63,15,31,46,11,16,11,2,2,1,22,6,3,138,10.9,251,1188:33,18:52,491,455,51.9,38,40,54,37,Byng-42,karlswi01
7,Paul Stastny,34,C,71,17,21,38,6,24,12,5,0,3,15,5,1,136,12.5,200,1216:00,17:08,624,515,54.8,32,63,41,18,,stastpa01
8,Nate Schmidt,28,D,59,7,24,31,11,12,6,1,0,0,18,6,0,112,6.3,225,1279:01,21:41,0,0,,91,25,33,39,Byng-42,schmina01
9,Chandler Stephenson,25,C,41,8,14,22,19,10,5,1,2,3,13,1,0,55,14.5,101,647:07,15:47,155,204,43.2,20,32,24,17,,stephch02
10,William Carrier,25,LW,71,7,12,19,0,39,7,0,0,1,12,0,0,99,7.1,158,700:56,9:52,9,5,64.3,11,213,22,8,,carriwi01
11,Alex Tuch,23,RW,42,8,9,17,-10,8,5,3,0,2,5,4,0,98,8.2,169,614:04,14:37,8,20,28.6,20,58,27,27,,tuchal01
12,Ryan Reaves,33,RW,71,8,7,15,-5,47,8,0,0,1,7,0,0,61,13.1,99,720:07,10:09,24,28,46.2,24,316,17,7,,reavery01
13,Tomáš Nosek,27,C,67,8,7,15,-2,20,7,0,1,1,7,0,0,93,8.6,154,777:35,11:36,217,216,50.1,38,91,22,16,,nosekto01
14,Nick Holden,32,D,61,6,8,14,-1,13,5,1,0,0,7,0,1,101,5.9,204,1150:19,18:51,0,0,,74,129,26,35,,holdeni01
15,Cody Glass,20,C,39,5,7,12,-7,6,4,1,0,1,2,5,0,51,9.8,84,521:03,13:22,60,83,42.0,6,15,18,17,,glassco01
16,Nicolas Hague,21,D,38,1,10,11,0,32,0,1,0,0,7,3,0,54,1.9,136,611:24,16:05,0,0,,26,69,13,10,,hagueni01
17,Cody Eakin,28,C,41,4,6,10,-9,16,4,0,0,0,5,1,0,53,7.5,87,600:50,14:39,258,286,47.4,14,41,19,18,,eakinco01
18,Nicolas Roy,22,C,28,5,5,10,3,8,4,1,0,1,5,0,0,42,11.9,65,320:01,11:26,93,100,48.2,7,39,10,6,,royni01
19,Brayden McNabb,29,D,71,2,7,9,1,40,1,0,1,0,7,0,0,73,2.7,176,1421:02,20:01,0,0,,133,201,32,32,,mcnabbr01
20,Alec Martinez,32,D,10,2,6,8,5,6,2,0,0,0,4,2,0,16,12.5,39,214:43,21:28,0,0,,32,11,8,1,,martial01
21,Jonathon Merrill,27,D,49,2,5,7,9,32,2,0,0,0,4,0,1,37,5.4,97,889:33,18:09,0,0,,71,51,14,27,,merrijo01
22,Deryk Engelland,37,D,49,1,5,6,6,37,1,0,0,1,4,0,1,59,1.7,116,860:16,17:33,0,0,,86,114,15,17,,engelde01
23,Valentin Zykov,24,LW,15,1,3,4,-2,6,0,1,0,0,3,0,0,19,5.3,31,183:10,12:13,0,1,0.0,3,20,5,12,,zykovva01
24,Nick Cousins,26,C,7,1,2,3,-1,2,0,1,0,0,2,0,0,10,10.0,18,97:14,13:53,21,15,58.3,3,14,6,1,,cousini01
25,Brandon Pirri,28,C,16,0,2,2,-4,8,0,0,0,0,2,0,0,24,0.0,53,201:02,12:34,6,3,66.7,5,16,8,4,,pirribr01
26,Gage Quinney,24,F,3,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,4,29:08,9:43,8,9,47.1,0,2,0,0,,quinnga01
27,Patrick Brown,27,C,1,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,3,10:04,10:04,0,0,,0,6,0,1,,brownpa02
28,Zach Whitecloud,23,D,16,0,1,1,3,4,0,0,0,0,1,0,0,9,0.0,29,229:01,14:19,0,0,,16,10,8,1,,whiteza01
29,Robin Lehner,28,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,180:00,60:00,0,0,,0,0,0,2,Vezina-6,lehnero01
30,Garret Sparks,26,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,27:24,27:24,0,0,,0,0,0,0,,sparkga01
31,Keegan Kolesar,22,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,12:06,12:06,1,0,100.0,0,2,0,0,,koleske01
32,Marc-André Fleury,35,G,49,0,0,0,0,8,0,0,0,0,0,0,0,1,0.0,1,2880:06,58:47,0,0,,0,0,0,10,Byng-19,fleurma01
33,Oscar Dansk,25,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,60:00,60:00,0,0,,0,0,0,0,,danskos01
