team_id,team_name
ANA,Anaheim Ducks
MDA,Mighty Ducks of Anaheim
BOS,Boston Bruins
BUF,Buffalo Sabres
CGY,Calgary Flames
ATF,Atlanta Flames
CAR,Carolina Hurricanes
HAR,Hartford Whalers
CHI,Chicago Blackhawks
CBH,Chicago Black Hawks
COL,Colorado Avalanche
QUE,Quebec Nordiques
CBJ,Columbus Blue Jackets
DAL,Dallas Stars
MNS,Minnesota North Stars
DET,Detroit Red Wings
EDM,Edmonton Oilers
FLA,Florida Panthers
LAK,Los Angeles Kings
MIN,Minnesota Wild
MTL,Montreal Canadiens
NSH,Nashville Predators
NJD,New Jersey Devils
CLR,Colorado Rockies
NYI,New York Islanders
NYR,New York Rangers
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PIT,Pittsburgh Penguins
SJS,San Jose Sharks
SEA,Seattle Kraken
STL,St. Louis Blues
TBL,Tampa Bay Lightning
TOR,Toronto Maple Leafs
UTA,Utah Hockey Club
VAN,Vancouver Canucks
VEG,Vegas Golden Knights
WSH,Washington Capitals
WPG,Winnipeg Jets
WIN,Winnipeg Jets (original)
PHX,Phoenix Coyotes
ARI,Arizona Coyotes
