team_id,inaugural_season,most_recent_season
ANA,2007,2025
MDA,1994,2006
BOS,1925,2025
BUF,1971,2025
CGY,1981,2025
ATF,1973,1980
CAR,1998,2025
HAR,1980,1997
CHI,1927,2025
COL,1996,2025
QUE,1980,1995
CBJ,2001,2025
DAL,1994,2025
MNS,1968,1993
DET,1933,2025
EDM,1980,2025
FLA,1994,2025
LAK,1968,2025
MIN,2001,2025
MTL,1918,2025
NSH,1999,2025
NJD,1975,2025
NYI,1973,2025
NYR,1927,2025
OTT,1993,2025
PHI,1968,2025
PIT,1968,2025
SJS,1992,2025
SEA,2022,2025
STL,1968,2025
TBL,1993,2025
TOR,1927,2025
UTA,2025,2025
VAN,1971,2025
VEG,2018,2025
WAS,1975,2025
WPG,2012,2025
ATL,2000,2011
WIN,1980,1996
PHX,1997,2014
ARI,2015,2024
